Datetime,Name,Value,Units
2014-05-01T14:08:53.587607Z,Status Since DTC Cleared,0011110100110,
2014-05-01T14:08:53.656972Z,Fuel System Status,0000,
2014-05-01T14:08:53.726403Z,Calculated Load Value,0.0,%
2014-05-01T14:08:53.734393Z,Coolant Temperature,13,C
2014-05-01T14:08:53.804349Z,Short Term Fuel Trim,0.0,%
2014-05-01T14:08:53.873862Z,Long Term Fuel Trim,-3.125,%
2014-05-01T14:08:53.943661Z,Intake Manifold Pressure,83,kPa
2014-05-01T14:08:54.013044Z,Engine RPM,0,rpm
2014-05-01T14:08:54.023852Z,Vehicle Speed,0,km/h
2014-05-01T14:08:54.031979Z,Timing Advance,0.0,degrees
2014-05-01T14:08:54.099302Z,Intake Air Temp,13,C
2014-05-01T14:08:54.148302Z,Air Flow Rate (MAF),0.15,grams/sec
2014-05-01T14:08:54.197583Z,Throttle Position,17.6470588235,%
2014-05-01T14:08:54.205724Z,Location of O2 sensors,03,
2014-05-01T14:08:54.254897Z,O2 Sensor: 1 - 2,51000.0,%
2014-05-01T14:08:54.303966Z,OBD Designation,01,
2014-05-01T14:08:54.353249Z,Time Since Engine Start,0,secs
2014-05-01T14:08:54.402399Z,Distance travelled with MIL on,0,km
2014-05-01T14:08:54.451579Z,Commanded EGR,0.0,%
2014-05-01T14:08:54.500697Z,EGR Error,99,%
2014-05-01T14:08:54.549811Z,Commanded Evaporative Purge,0.0,%
2014-05-01T14:08:54.599026Z,Fuel Level Input,62.3529411765,%
2014-05-01T14:08:54.648112Z,Number of Warmups Since Codes Cleared,255,warmups
2014-05-01T14:08:54.697299Z,Distance Travelled Since Codes Cleared,65535,km
2014-05-01T14:08:54.746461Z,Evap. System Vapor Pressure,FF96,
2014-05-01T14:08:54.795612Z,Barometric Pressure,83,kPa
2014-05-01T14:08:54.844755Z,O2S1_WR_lambda(1),FFFF8001,
2014-05-01T14:08:54.881638Z,Catalyst Temperature Bank 1 Sensor 1,13.3,C
2014-05-01T14:08:54.918507Z,Monitor Status This Drive Cycle,0007E1E5,
2014-05-01T14:08:54.955160Z,Control Module Voltage,12.225,V
2014-05-01T14:08:54.992129Z,Absolute Load Value,0.0,%
2014-05-01T14:08:55.028951Z,Command Equivalence Ratio,1,ratio
2014-05-01T14:08:55.065911Z,Relative Throttle Position,7.8431372549,%
2014-05-01T14:08:55.102578Z,Absolute Throttle Position B,34.5098039216,%
2014-05-01T14:08:55.139766Z,Accelerator Pedal Position D,20.0,%
2014-05-01T14:08:55.176417Z,Accelerator Pedal Position E,9.80392156863,%
2014-05-01T14:08:55.213420Z,Commanded Throttle Actuator,7.05882352941,%
2014-05-01T14:09:00.251147Z,Status Since DTC Cleared,0011110100110,
2014-05-01T14:09:00.288184Z,Fuel System Status,0000,
2014-05-01T14:09:00.324997Z,Calculated Load Value,0.0,%
2014-05-01T14:09:00.333181Z,Coolant Temperature,13,C
2014-05-01T14:09:00.370062Z,Short Term Fuel Trim,0.0,%
2014-05-01T14:09:00.406920Z,Long Term Fuel Trim,-3.125,%
2014-05-01T14:09:00.443818Z,Intake Manifold Pressure,83,kPa
2014-05-01T14:09:00.480643Z,Engine RPM,0,rpm
2014-05-01T14:09:00.489738Z,Vehicle Speed,0,km/h
2014-05-01T14:09:00.497862Z,Timing Advance,0.0,degrees
2014-05-01T14:09:00.533902Z,Intake Air Temp,14,C
2014-05-01T14:09:00.570771Z,Air Flow Rate (MAF),0.15,grams/sec
2014-05-01T14:09:00.607653Z,Throttle Position,17.6470588235,%
2014-05-01T14:09:00.615820Z,Location of O2 sensors,03,
2014-05-01T14:09:00.652685Z,O2 Sensor: 1 - 2,51000.0,%
2014-05-01T14:09:00.689574Z,OBD Designation,01,
2014-05-01T14:09:00.726430Z,Time Since Engine Start,0,secs
2014-05-01T14:09:00.763272Z,Distance travelled with MIL on,0,km
2014-05-01T14:09:00.800141Z,Commanded EGR,0.0,%
2014-05-01T14:09:00.837027Z,EGR Error,0,%
2014-05-01T14:09:00.873871Z,Commanded Evaporative Purge,0.0,%
2014-05-01T14:09:00.910742Z,Fuel Level Input,62.3529411765,%
2014-05-01T14:09:00.947628Z,Number of Warmups Since Codes Cleared,255,warmups
2014-05-01T14:09:00.984435Z,Distance Travelled Since Codes Cleared,65535,km
2014-05-01T14:09:01.021194Z,Evap. System Vapor Pressure,FF96,
2014-05-01T14:09:01.058200Z,Barometric Pressure,83,kPa
2014-05-01T14:09:01.095084Z,O2S1_WR_lambda(1),FFFF8001,
2014-05-01T14:09:01.131938Z,Catalyst Temperature Bank 1 Sensor 1,13.3,C
2014-05-01T14:09:01.168804Z,Monitor Status This Drive Cycle,0007E1E5,
2014-05-01T14:09:01.205658Z,Control Module Voltage,12.225,V
2014-05-01T14:09:01.242565Z,Absolute Load Value,0.0,%
2014-05-01T14:09:01.279396Z,Command Equivalence Ratio,1,ratio
2014-05-01T14:09:01.316253Z,Relative Throttle Position,8.23529411765,%
2014-05-01T14:09:01.353205Z,Absolute Throttle Position B,34.5098039216,%
2014-05-01T14:09:01.389756Z,Accelerator Pedal Position D,20.0,%
2014-05-01T14:09:01.426697Z,Accelerator Pedal Position E,9.80392156863,%
2014-05-01T14:09:01.463718Z,Commanded Throttle Actuator,7.05882352941,%
2014-05-01T14:09:06.501570Z,Status Since DTC Cleared,0011110100110,
2014-05-01T14:09:06.538700Z,Fuel System Status,0000,
2014-05-01T14:09:06.575567Z,Calculated Load Value,0.0,%
2014-05-01T14:09:06.583760Z,Coolant Temperature,13,C
2014-05-01T14:09:06.620601Z,Short Term Fuel Trim,0.0,%
2014-05-01T14:09:06.657460Z,Long Term Fuel Trim,-3.125,%
2014-05-01T14:09:06.694284Z,Intake Manifold Pressure,83,kPa
2014-05-01T14:09:06.731157Z,Engine RPM,0,rpm
2014-05-01T14:09:06.741504Z,Vehicle Speed,0,km/h
2014-05-01T14:09:06.750535Z,Timing Advance,0.0,degrees
2014-05-01T14:09:06.788555Z,Intake Air Temp,14,C
2014-05-01T14:09:06.825380Z,Air Flow Rate (MAF),0.15,grams/sec
