STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00294366,JEMEZ DAM NM US,20130101,39,-72,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130102,0,-133,-133
GHCND:USC00294366,JEMEZ DAM NM US,20130103,11,-139,-89
GHCND:USC00294366,JEMEZ DAM NM US,20130104,11,-139,-89
GHCND:USC00294366,JEMEZ DAM NM US,20130105,22,-144,-111
GHCND:USC00294366,JEMEZ DAM NM US,20130106,44,-122,-100
GHCND:USC00294366,JEMEZ DAM NM US,20130107,56,-122,-11
GHCND:USC00294366,JEMEZ DAM NM US,20130108,100,-83,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130109,72,-83,-33
GHCND:USC00294366,JEMEZ DAM NM US,20130111,89,-50,22
GHCND:USC00294366,JEMEZ DAM NM US,20130112,44,-161,-156
GHCND:USC00294366,JEMEZ DAM NM US,20130113,-11,-172,-161
GHCND:USC00294366,JEMEZ DAM NM US,20130114,-17,-178,-83
GHCND:USC00294366,JEMEZ DAM NM US,20130115,-39,-161,-144
GHCND:USC00294366,JEMEZ DAM NM US,20130116,-56,-150,-144
GHCND:USC00294366,JEMEZ DAM NM US,20130117,22,-150,-83
GHCND:USC00294366,JEMEZ DAM NM US,20130118,94,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130119,111,-89,-83
GHCND:USC00294366,JEMEZ DAM NM US,20130120,100,-94,-72
GHCND:USC00294366,JEMEZ DAM NM US,20130121,117,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130122,106,-78,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130123,144,-89,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130126,133,33,67
GHCND:USC00294366,JEMEZ DAM NM US,20130127,94,50,50
GHCND:USC00294366,JEMEZ DAM NM US,20130128,133,39,44
GHCND:USC00294366,JEMEZ DAM NM US,20130129,122,-22,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130130,0,-61,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130131,39,-61,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130201,106,-61,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130202,122,-67,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130203,139,-44,-11
GHCND:USC00294366,JEMEZ DAM NM US,20130204,111,-11,11
GHCND:USC00294366,JEMEZ DAM NM US,20130205,122,-33,-28
GHCND:USC00294366,JEMEZ DAM NM US,20130206,150,-50,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130207,150,-50,6
GHCND:USC00294366,JEMEZ DAM NM US,20130208,133,0,17
GHCND:USC00294366,JEMEZ DAM NM US,20130209,133,-33,-6
GHCND:USC00294366,JEMEZ DAM NM US,20130210,100,-44,-33
GHCND:USC00294366,JEMEZ DAM NM US,20130211,56,-72,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130212,72,-72,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130213,39,-83,-72
GHCND:USC00294366,JEMEZ DAM NM US,20130214,72,-83,-50
GHCND:USC00294366,JEMEZ DAM NM US,20130215,89,-56,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130216,106,-61,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130217,139,-78,-72
GHCND:USC00294366,JEMEZ DAM NM US,20130218,144,-78,6
GHCND:USC00294366,JEMEZ DAM NM US,20130219,94,-39,-28
GHCND:USC00294366,JEMEZ DAM NM US,20130220,156,-28,44
GHCND:USC00294366,JEMEZ DAM NM US,20130221,106,-11,-6
GHCND:USC00294366,JEMEZ DAM NM US,20130222,78,-17,-17
GHCND:USC00294366,JEMEZ DAM NM US,20130223,44,-67,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130224,89,-67,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130225,44,-50,-50
GHCND:USC00294366,JEMEZ DAM NM US,20130226,78,-72,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130227,61,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130228,72,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130301,100,-78,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130302,144,-28,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130303,178,-28,-17
GHCND:USC00294366,JEMEZ DAM NM US,20130304,194,-17,89
